"id","x","y","Legende","link","Supplement","Suspendu","Nom"
"Allemagne","101.4639","75.272","Allemand","www.monde-diplomatique.de","non","non","Allemagne"
"Allemagne2","101.4639","77.3115","Kurde","http://www.ikmg.org/","non","non","Allemagne"
"Argentine","24.2344","120.291","Espagnol","www.eldiplo.org","non","non","Argentine"
"Australie","210.5762","84.0244","Editionanglaise","www.mondediplo.com","non","non","Australie"
"Belgique","97.0264","77.144","Editionanglaise","www.mondediplo.com","non","non","Belgique"
"Bolivie","29.0332","102.5938","Espagnol","non","non","non","Bolivie"
"Bresil","44.5991","112.2729","Portugais","www.diplomatique.org.br","non","non","Brésil"
"Bulgarie","111.0532","84.8545","Autrelanguedupays","www.bg.mondediplo.com","aussi","non","Bulgarie"
"Canada","73.5146","34.834","Editionanglaise","www.mondediplo.com","non","non","Canada"
"Chili","19.9678","111.0449","Espagnol","www.lemondediplomatique.cl","non","non","Chili"
"Chypre","117.2651","89.9531","Grec","non","non","non","Chypre"
"Colombie","33.6201","80.9966","Espagnol","non","non","non","Colombie"
"Coree du Sud","155.668","42.6553","Autrelanguedupays","www.ilemonde.com","non","non","Corée du Sud"
"Croatie","105.0029","83.0112","Autrelanguedupays","non","non","non","Croatie"
"Cuba","43.9487","64.5273","Esperanto","www.eo.mondediplo.com","non","non","Cuba"
"Dubai","133.5176","94.0342","Arabe","http://gulfnews.com/","oui","non","Dubaï"
"Egypte","115.2305","97.5049","Arabe","http://www.ahram.org.eg/","oui","non","Egypte"
"Emirats_arabes_unis","134.7271","95.5078","Anglais","http://www.alkhaleej.ae/portal","oui","non","Emirats Arabes Unis"
"Espagne","91.6948","85.7998","Espagnol","www.monde-diplomatique.es","non","non","Espagne"
"Etats-Unis","54.1748","47.1318","Editionanglaise","www.mondediplo.com","non","non","Etats-Unis"
"Finlande","108.7598","65.9541","Autrelanguedupays","www.mondediplo.fi","non","non","Finlande"
"Grece","110.5479","89.7725","Grec","www.monde-diplomatique.gr","non","non","Grèce"
"Honduras","35.895","63.3721","Espagnol","non","non","non","Honduras"
"Hongrie","106.9717","81.0322","Autrelanguedupays","www.magyardiplo.hu","non","non","Hongrie"
"Inde","150.7124","82.5557","Autrelanguedupays","www.hardnewsmedia.com/","oui","non","Inde"
"Iran","131.874","85.5654","Autrelanguedupays","ir.mondediplo.com","non","non","Iran"
"Italie","104.895","87.5879","Autrelanguedupays","www.monde-diplomatique.it","non","non","Italie"
"Japon","156.7764","36.3564","Autrelanguedupays","www.diplo.jp","non","non","Japon"
"Kurdistan","125.0659","86.6665","Kurde","http://rudaw.net/Sorani","non","non","Kurdistan"
"Luxembourg","99.0625","78.4321","Autrelanguedupays","http://www.tageblatt.lu/","oui","non","Luxembourg"
"Norvege","100.7236","67.7773","Autrelanguedupays","www.lmd.no","non","non","Norvège"
"Pays-Bas","98.7598","75.9346","Editionanglaise","www.mondediplo.com","non","non","Pays-Bas"
"Pologne","106.5386","76.4819","Autrelanguedupays","www.monde-diplomatique.pl","non","non","Pologne"
"Porto_Rico","46.4048","75.5068","Espagnol","www.compartirpr.org","oui","non","Porto Rico"
"Portugal","88.1191","86.793","Portugais","www.pt.mondediplo.com","non","non","Portugal"
"Suisse","99.7456","81.021","Allemand","www.woz.ch/lmd/aktuell","non","non","Suisse"
"Tunisie","99.7124","92.4092","Arabe","non","non","non","Tunisie"
"Venezuela","39.543","80.1655","Espagnol","non","non","non","Venezuela"
"Norvege2","101.9023","65.2261","Editionanglaise","www.mondediplo.com","non","non","Norvège"
"Singapour","176.2295","83.374","Editionanglaise","www.monde-diplomatique.pl","non","non","Singapour"
"Afrique_du_Sud","113.1978","151.0649","Autrelanguedupays","non","non","oui","Afrique du Sud"
"Angola","107.0757","135.3271","Portugais","non","non","oui","Angola"
"Armenie","124.1411","82.8594","Autrelanguedupays","non","non","oui","Arménie"
"Bielorussie","111.3018","74.1377","Autrelanguedupays","non","non","oui","Biélorussie"
"Equateur","27.6025","79.8799","Espagnol","non","non","oui","Equateur"
"Koweit","128.6191","91.6538","Arabe","non","non","oui","Koweït"
"Liban","119.9512","89.8481","Arabe","non","non","oui","Liban"
"Maroc","88.0244","93.0259","Arabe","non","non","oui","Maroc"
"Mexique","37.6787","47.3755","Equateur","non","non","oui","Mexique"
"Perou","24.1353","89.6313","Espagnol","non","non","oui","Pérou"
"Republique_tcheque","103.7725","78.5776","Autrelanguedupays","non","non","oui","République tchèque"
"Roumanie","110.814","80.7471","Autrelanguedupays","non","non","oui","Roumanie"
"Russie","117.8022","67.2031","Autrelanguedupays","non","non","oui","Russie"
"Slovaquie","106.645","78.957","Autrelanguedupays","non","non","oui","Slovaquie"
"Slovenie","103.771","81.5586","Autrelanguedupays","non","non","oui","Slovénie"
"Turquie","117.9653","85.9297","Autrelanguedupays","non","non","oui","Turquie"
"Royaume_Uni","94.2896 ","73.7549","Anglais","www.mondediplo.com","non","non","Royaume-Uni"
