"type","calque","id","class","etape","decal","duree","size","centre"
"text","general","titre_gene","grandit","0","0","","26",""
"text","explis","explis","grandit","0","0","","10",""
"g","acteur","dessin_banque","dashplein","1","0","","",""
"path","acteur","contour_banque","resserre","1","1","","","212.6,-183.7"
"text","acteur","titre_banque","grandit","1","0","","",""
"text","mobs","argA_txt","grandit","1","0","","11",""
"path","mobs","argA_bul","gonfle","1","0","","",""
"path","chemin","t1","dash","1","1","","",""
"g","boules","pastille1","opac","1","0","","",""
"g","boules","b1_contour","deboule","1","0","","","-555.5,-76.3"
"text","boules","b1_txt","grandit","1","0","","9",""
"text","boules","b1_titre","grandit","1","0","","12","568.6,190"
"g","acteur","dessin_entrep","dashplein","2","1","","",""
"path","acteur","contour_entrep","resserre","2","2","","","875.1,-220.3"
"text","acteur","titre_entrep","grandit","2","1","","11",""
"text","acteur","txt_entrep","grandit","2","1","","10",""
"path","chemin","t2","dash","2","0","","",""
"path","chemin","f2","appar","2","0","","",""
"path","chemin","t3","dash","2","1","","",""
"path","chemin","f3","appar","2","1","","",""
"path","chemin","t4","dash","2","2","","",""
"path","chemin","f4","appar","2","2","","",""
"rect","plus","carrea_j","opac","2","2","","",""
"rect","plus","carreb_j","opac","2","2","","",""
"text","plus","mat_prem","grandit","2","2","","",""
"text","plus","out_prod","grandit","2","2","","",""
"path","plus","maison","dash","2","1","","",""
"text","plus","val_trav","grandit","2","2","","",""
"text","plus","salaire","grandit","2","2","","",""
"text","plus","surtravail","grandit","2","2","","",""
"text","plus","lutte","grandit","2","2","","",""
"path","plus","poing","opac","2","2","","",""
"path","plus","cadre","opac","2","2","","",""
"path","plus","bloc_rouge","gauche_droite","2","2","","",""
"path","plus","bloc_bleu","droite_gauche","2","2","","",""
"g","boules","pastille2","opac","2","0","","",""
"g","boules","b2_contour","deboule","2","0","","","-1132.8,81.3"
"text","boules","b2_txt","grandit","2","0","","9",""
"text","boules","b2_titre","grandit","2","0","","12","1165,110"
"g","acteur","dessin_trav","dashplein","3","0","","",""
"path","acteur","contour_trav","resserre","3","1","","","373,-449.6"
"text","acteur","titre_trav","grandit","3","0","","11",""
"text","acteur","txt_trav","grandit","3","0","","10",""
"path","chemin","t5","dash","3","1","","",""
"path","chemin","f5","appar","3","1","","",""
"g","boules","pastille3","opac","3","0","","",""
"g","boules","b3_contour","deboule","3","0","","","-554.2,-27.6"
"text","boules","b3_txt","grandit","3","0","","9",""
"text","boules","b3_titre","grandit","3","0","","12","567.3,330"
"g","acteur","dessin_surt","dashplein","4","0","","",""
"path","acteur","contour_surt","resserre","4","1","","","789,-656.9"
"text","acteur","titre_surt","grandit","4","0","","11",""
"text","mobs","argAp_txt","grandit","4","1","","11",""
"path","mobs","argAp_bul","gonfle","4","1","","",""
"path","chemin","t6","dash","4","1","","",""
"path","chemin","t7","dash","4","2","","",""
"path","chemin","f7","appar","4","2","","",""
"path","chemin","t8","dash","4","3","","",""
"path","chemin","f8","appar","4","3","","",""
"path","chemin","t9","dash","4","0","","",""
"path","chemin","f9","appar","4","0","","",""
"path","chemin","t10","dash","4","4","","",""
"path","chemin","f10","appar","4","4","","",""
"text","mobs","mob07","clik","4","2","","",""
"text","mobs","mob08","clik","4","3","","",""
"text","mobs","mob09","clik","4","0","","",""
"text","mobs","mob10","clik","4","4","","",""
"text","mobs","mobi07","oclik","4","2","","",""
"text","mobs","mobi08","oclik","4","3","","",""
"text","mobs","mobi09","oclik","4","0","","",""
"text","mobs","mobi10","oclik","4","4","","",""
"g","boules","pastille4","opac","4","0","","",""
"g","boules","b4_contour","deboule","4","0","","","-840.8,-57.2"
"text","boules","b4_txt","grandit","4","0","","9",""
"text","boules","b4_titre","grandit","4","0","","12","853.9,534.6"
"path","chemin","t11","dash","5","0","","",""
"path","chemin","f11","appar","5","0","","",""
"path","chemin","t12","dash","5","1","","",""
"path","chemin","f12","appar","5","1","","",""
"path","chemin","t13","dash","5","2","","",""
"path","chemin","f13","appar","5","2","","",""
"text","mobs","mob12","clik","5","1","","",""
"text","mobs","mob13","clik","5","2","","",""
"text","mobs","mobi12","oclik","5","1","","",""
"text","mobs","mobi13","oclik","5","2","","",""
"g","boules","pastille5","opac","5","0","","",""
"g","boules","b5_contour","deboule","5","0","","","-273.8,-10.6"
"text","boules","b5_txt","grandit","5","0","","9",""
"text","boules","b5_titre","grandit","5","0","","12","286.9,670"
"path","chemin","t14","dash","6","0","","",""
"path","chemin","f14","appar","6","0","","",""
"path","chemin","t15","dash","6","1","","",""
"path","chemin","f15","appar","6","1","","",""
"text","mobs","mob14","clik","6","0","","",""
"text","mobs","mobi14","oclik","6","0","","",""
"g","boules","pastille6","opac","6","0","","",""
"g","boules","b6_contour","deboule","6","0","","","-202.2,363.5"
"text","boules","b6_txt","grandit","6","0","","9",""
"text","boules","b6_titre","grandit","6","0","","12","215.3,400"
